İlk Galibiyet,First Victory,Win your first match,en-US
İlk Galibiyet,Primera Victoria,Gana tu primer partido,es-ES
İlk Galibiyet,Primeira Vitória,Vença sua primeira partida,pt-PT
Gol Yemeden,Clean Sheet,Win without conceding,en-US
Gol Yemeden,Valla Invicta,Gana sin recibir goles,es-ES
Gol Yemeden,Sem Sofrer Golos,Vença sem sofrer golos,pt-PT
Gol Yağmuru,Goal Rain,Score 5 goals in a match,en-US
Gol Yağmuru,Lluvia de Goles,Marca 5 goles en un partido,es-ES
Gol Yağmuru,Chuva de Golos,Marque 5 golos num jogo,pt-PT
Hat-Trick,Hat Trick,Score 3 goals in a match,en-US
Hat-Trick,Triplete,Marca 3 goles en un partido,es-ES
Hat-Trick,Hat Trick,Marque 3 golos num jogo,pt-PT
Geri Dönüş Kralı,Comeback King,Win after trailing behind,en-US
Geri Dönüş Kralı,Rey de la Remontada,Gana tras ir perdiendo,es-ES
Geri Dönüş Kralı,Rei da Reviravolta,Vença após estar a perder,pt-PT
Kraliyet Tacı,Royalty,Equip a crown on your favorite team,en-US
Kraliyet Tacı,Realeza,Equipa una corona a tu equipo,es-ES
Kraliyet Tacı,Realeza,Equipe uma coroa na sua equipa,pt-PT
Koleksiyoncu,Collector,Unlock 3 ball skins,en-US
Koleksiyoncu,Coleccionista,Desbloquea 3 balones,es-ES
Koleksiyoncu,Colecionador,Desbloqueie 3 bolas,pt-PT
Sadık Futbolcu,Dedicated Player,Complete 10 matches,en-US
Sadık Futbolcu,Jugador Dedicado,Completa 10 partidos,es-ES
Sadık Futbolcu,Jogador Dedicado,Complete 10 partidas,pt-PT
Sadık Taraftar,True Supporter,Win a match with your favorite team,en-US
Sadık Taraftar,Verdadero Hincha,Gana con tu equipo favorito,es-ES
Sadık Taraftar,Verdadeiro Adepto,Vença com a sua equipa favorita,pt-PT
